[0mroot [6] TPulse->Scan("trigtime:time:ToT"[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[0m[38;5;83m[1m([0m"trigtime:time:ToT"[0m[38;5;83m[1m)
[0m***********************************************************
*    Row   * Instance *  trigtime *      time *       ToT *
*      224 *        0 *         0 *      4238 *        83 *
*      225 *        0 *         0 *      4231 *        83 *
*      226 *        0 *         0 *      4236 *        83 *
*      227 *        0 *         0 *      4233 *        83 *
*      228 *        0 *         0 *      4238 *        83 *
*      229 *        0 *         0 *      4237 *        83 *
*      230 *        0 *         0 *      4234 *        83 *
*      231 *        0 *         0 *      4236 *        83 *
*      232 *        0 *         0 *      4237 *        83 *
*      233 *        0 *         0 *      4233 *        83 *
*      234 *        0 *         0 *      4236 *        84 *
*      235 *        0 *         0 *      4237 *        83 *
*      236 *        0 *         0 *      4237 *        83 *
*      237 *        0 *         0 *      4232 *        83 *
*      238 *        0 *         0 *      4234 *        83 *
*      239 *        0 *         0 *      4237 *        84 *
*      240 *        0 *         0 *      4233 *        83 *
*      241 *        0 *         0 *      4238 *        84 *
*      242 *        0 *         0 *      4235 *        83 *
*      243 *        0 *         0 *      4232 *        83 *
*      244 *        0 *         0 *      4238 *        84 *
*      245 *        0 *         0 *      4231 *        84 *
*      246 *        0 *         0 *      4232 *        83 *
*      247 *        0 *         0 *      4233 *        83 *
*      248 *        0 *         0 *      4231 *        84 *
*      249 *        0 *         0 *      4236 *        84 *
*      250 *        0 *         0 *      4234 *        83 *
*      251 *        0 *         0 *      4232 *        84 *
*      252 *        0 *         0 *      4237 *        83 *
*      253 *        0 *         0 *      4233 *        83 *
*      254 *        0 *         0 *      4237 *        83 *
*      255 *        0 *         0 *      4235 *        83 *
*      256 *        0 *         0 *      4235 *        83 *
*      257 *        0 *         0 *      4235 *        83 *
*      258 *        0 *         0 *      4232 *        83 *
*      259 *        0 *         0 *      4233 *        83 *
*      260 *        0 *         0 *       643 *        84 *
*      260 *        1 *         0 *      5754 *        83 *
*      261 *        0 *         0 *      4237 *        83 *
*      262 *        0 *         0 *      4236 *        83 *
*      263 *        0 *         0 *      2355 *        83 *
*      263 *        1 *         0 *      7471 *        83 *
*      264 *        0 *         0 *      4234 *        83 *
*      265 *        0 *         0 *      4234 *        83 *
*      266 *        0 *         0 *      4232 *        83 *
*      267 *        0 *         0 *      4233 *        84 *
*      268 *        0 *         0 *      4234 *        83 *
*      269 *        0 *         0 *      4239 *        83 *
*      270 *        0 *         0 *      4232 *        83 *
*      271 *        0 *         0 *      4237 *        83 *
*      272 *        0 *         0 *      4236 *        83 *
*      273 *        0 *         0 *      4328 *        83 *
*      273 *        1 *         0 *      4426 *        83 *
*      274 *        0 *         0 *      4233 *        83 *
*      275 *        0 *         0 *      4238 *        84 *
*      276 *        0 *         0 *      4237 *        83 *
*      277 *        0 *         0 *      4238 *        83 *
*      278 *        0 *         0 *      4237 *        83 *
*      279 *        0 *         0 *      4232 *        83 *
*      280 *        0 *         0 *      4329 *        83 *
*      280 *        1 *         0 *      4429 *        84 *
*      281 *        0 *         0 *      4238 *        83 *
*      282 *        0 *         0 *      4231 *        83 *
*      283 *        0 *         0 *      4231 *        83 *
*      284 *        0 *         0 *      4234 *        83 *
*      285 *        0 *         0 *      4236 *        83 *
*      286 *        0 *         0 *      4233 *        83 *
*      287 *        0 *         0 *      4231 *        84 *
*      288 *        0 *         0 *      4234 *        83 *
*      289 *        0 *         0 *      4234 *        84 *
*      290 *        0 *         0 *      4233 *        83 *
*      291 *        0 *         0 *      4236 *        84 *
*      292 *        0 *         0 *      4232 *        84 *
*      293 *        0 *         0 *      4239 *        83 *
*      294 *        0 *         0 *      4238 *        84 *
*      295 *        0 *         0 *      4235 *        84 *
